beerName,description
"Heady Topper","BELIEVE THE HYPE!"
"Heady Topper","As a VTer, I have been fortunate to purchase this on a regular basis directly from the brewery."
"Heady Topper","Purchased and consumed many times over the past couple of years.  I typically ignore the can and drink from a tall glass.  "
"Heady Topper","Got my hands on a case while visiting VT, absolutely fantastic beer that lived up to the hype. "
"Heady Topper","Pours out a nice orange in color in color with a small white head that dissipated quick. Smell is really fruity with orange, mango, and pineapple with a little a tiny bit of malt but it is so in the background that the hops are the forefront. Taste is really fruity with all that was in the nose but there is a tiny bit more bitter hops in the background that sits in the mouth and really meld well with all he other stuff going on. Mouthfeel is actually quite thick for the style and really adds a lot to the beer. Overall this is an amazing beer that is hopped so well that it's a very hard beer to beat for the style. It is world class!!!"
"Heady Topper","FINALLY!! Had the elusive Heady Topper!! Now at first, I wanted to come at this beer with an open mind. After all the hype and the talk about this beer, I cracked my first can. BAM! The aroma hits my nose. The floral, citrusy hoppyness enters my face holes. I take the first sip...let the beer move around my mouth. THIS BEER LIVES UP TO THE HYPE!!! Absolutely delicious from beginning to end. After my first few sips I sat there and just smelled it over and over to let that beautiful hoppyness permeate. great finish to the beer, tons of hops and floral tastes along with a sort of citrus/fruitiness. The hardest thing about this beer is keeping it in my fridge. Don't let anyone know you have this beer if you really want to savor it, because people will ask to drink one. And I'm not willing to share right now."
"Heady Topper","I decided to turn a recent ski vacation on a BeerSKI vacation. Took a trip to Montpellier for a crazily hectic search for this magical nectar. The process of finding HT, and trying to beat out other people in the parking lot to the next case made the first cracking of the can that much more rewarding. After all, this beer is incredible"
"Heady Topper","My son brought us a bottle of fresh Pliney the Elder for Christmas. I've heard so much about the beer and it certainly lived up to the hype. Talk about fresh-it was bottled 10 days earlier! Immediate grassy, fresh hop aroma followed by the most fresh IPA hop flavor! The flavor seemed to intensify as it warmed up a bit. Clean, refreshing finish. Simply amazing."
"Heady Topper","I have had many hoppy beers....but this one takes the cake. "
"Heady Topper","A: hazy golden, i want to jump in"
"Heady Topper","Finally got to try. My can is under a week old. In my book this stuff absolutely lives up to the hype. A perfect hop forward IPA. I prefer it in the glass so I can admire the color and the smell. It appears a murky yellow / orange almost resembling juice. The smell is hops and more hops. Taste just like it smells - awesome! This is the real deal!!!"
"Heady Topper","Drank from the can as instructed..."
"Heady Topper","A - The beer is medium shaded yellow with a dense white head. "
"Heady Topper","The alchemist Deserves Credit For Focusing On Their Only Beer And making It perfect And Out Of A Can! It Is unfiltered But Color Is Consistent Surpringly Small Head For Something Named Heady Topper. It Is Very Smooth great Complexity Of flavor And You Could Drink A Lot And Forget It is 8% . A Cult Like Following And Hard To Find."
"Heady Topper","Received in trade from Bricenice, Thanks Mike!"
"Heady Topper","Poured from a can into a tulip."
"Heady Topper","Tried it at the brewery on tap, tried it from the can 1 day old, and tried it from the can 6 months old."
"Heady Topper","Enjoyed once before and once after an 8 mile mountain trail run."
"Heady Topper","I just tried this beer for the first time, and I have to say I'm impressed. Against my better judgement, I followed the directions on the can and decided to drink it without pouring it into my tulip."
"Heady Topper","Amazing beer, have had it many times as it is locally available. If it is more than 2 weeks old it quickly becomes an average IPA. "
"Heady Topper","Hands down the best beer I've ever had. I heard all the hype and went down to the brewery to try it myself. I left with 3 cases and a new favorite beer. "
"Heady Topper","So many flavors. Drank out of a snifter poured fresh from the can. A variety of hops throughout although not too much (I am no ""hophead""). Delicious malt. Cannot recommend enough. Lives up to the hype if you can get your hands on a can. Glad I live in Vermont."
"Heady Topper","Can sent in a trade - 2 weeks old. "
"Heady Topper","This is an absolutely incredible beer. I am a huge fan of Double IPAs, so I try them all and this is the best one I have had to date. It has such a refreshing taste and it packs a punch. I wish it wasn’t so hard to find, but I know that adds to the mystique. For all you beer fans out there, you will find it in Burlington along with many other good beers. I usually can argue top 250 ratings, but this one has the right top dog."
"Heady Topper","What else can I say. Heady Topper has been one of the few beers out of all that I've tried that really lives up to the hype. A masterpiece by The Alchemist. Beer looks great and tastes great whether out of the can or poured. Appearance is copper, orange, unfiltered, cloudy, danky looking. Smell is spot on hoppy, piney, danky and citrusy. Taste is incredible with lots of pungent grapefruit in your face balanced by the piney bitterness and malt. Keeps you wishing you had a whole case. Mouthfeel is smooth and perfectly carbonated. It goes down so easy. This beer is #1 for a reason."
"Heady Topper","Not being an ipa fan this beer is awesome. The hops are so well balanced. Highly revcommend dor the non ipa lover. I bought a 4 pk and can kick myself for not getting a case . Next visit I will get at least 1 case! A definite option for the non IPA oriented consumer."
"Heady Topper","Received two 4-packs in a trade with bostonbeans originating on the other site. Purchased a week ago, so this beer is fresh to deff... Whatever that means. First time drinking, and I'm pretty excited. Thanks, Vini!"
"Heady Topper","Drinking this beauty on a lazy Saturday afternoon and figured I should have reviewed this a long time ago."
"Heady Topper","So the age old debate.... Heady vs Pliny..."
"Heady Topper","This is my 2nd time having this, and it shocked me both times."
"Heady Topper","Poured from a 16 ounce can into a Spiegelau tulip - no, I didn't follow the rules and drink it out of the can. No freshness date printed on the can."
"Heady Topper","Finally got my hands on some of this, first off let me say this beer is awesome. The second you open the can you are hit with an explosion of hops."
"Heady Topper","I must say this is the best beer I have ever tasted. Not only does it taste flawless but it looks and smells flawless as well. One of the most difficult beers to purchase on the market! Well worth the wait though. The smell alone if like no other, very fruity and strong, but not over powering."
"Heady Topper","A - The beer is golden yellowish with a sticky white head. good lace in glass but its best served drank from can because it dosnt look that good."
"Heady Topper","They hype was not false. This was absolutely divine!"
"Heady Topper","Definitely worthy of a 100 rating. Fresh hop beer consumed very soon after shipment arrived. Dank, grassy hops. Slight spice and earthy tones. Perfect carbonation and a sweet, faint malt character. Still trumped by Pliny and Enjoy By but among the top of its class. Oh, and I was a bad boy and didn't drink from the can. Hats off to the Alchemest all the way from Vermont doing the west coast ipa as good as or better than almost anyone out there."
"Heady Topper","Can that traveled from Vermont to Washington to Maine."
"Heady Topper","Another head sucked into the hype. After trying the sample from the Alchemist tap, which was damn delicious, I was still unsure if the journey was worth it. Settled back where I was staying, I cracked a can and fell in love."
"Heady Topper","When it's fresh it's truly amazing. Liquid hop candy. Sweet but not cloying with with notes of resin, pine and grapefruit. Like drinking a liquid forest. As it ages it loses it's sweetness and grassy notes begin to dominate."
"Heady Topper","From the first crack of the can the piney hops aromas are enough to make you think you are amongst the pine covered hills of Vermont. The can does not lie - your first sip will be an explosion of hops. This beer is not for the faint of heart, but if you are a hop head beware... this DIPA could quite possibly ruin all others for you. :)"
"Heady Topper","Poured from the can into a tulip glass..."
"Heady Topper","Made the 7 hour round trip to acquire this wonderful beer. "
"Heady Topper","Let me preface this by saying, I'm not much of an IPA hop head. But a buddy scored this and I had to try it out of the can followed by in a glass. I actually like the glass offering better, but here goes: Poured from can into DFH snifter. Great looking light pale yellow beer with an inviting 2 fingers of head. Straw hues and a bit of cloudiness. Smell is awesome. Citrus hops meet earthy/pine hops. Getting grapefruit and apricot on the nose. Taste was pretty balanced and smooth for such a strong announced IBU. For not a big fan of the style, I was glad it went down as easy as it did. More pronounced fruit as it warmed. The can offering just seemed a bit less flavorful? to me than the glass. Feel was great with a medium heft and carbonation that was pleasant. Overall: The best IPA I have had, but again it's not my wheelhouse. I liked the citrus frontend and balance. I can see where those who love the style would really like this. I would drink again and think it's a must try."
"Heady Topper","Appearance is a can, I followed the instructions and I'm glad I did."
"Heady Topper","Without a doubt this is my favorite beer. Although the instructions on the can say to drink from the can I have on occaision used a glass, which is my prefferred beer drinking method. When you first open one you are hit with a wonderful smell that is not matched by any other beer I have ever experienced. The flavor of this awesom double IPA is very hoppy yet slightly fruity at the same time. There is something else unique about the tast but I cannot put it into words. I guess I find it robust and strong but smooth at the same time. The limited avaiablity undoubtedly adds to the mystic of this beer. I usually only get to have some about twice a year. Whenever I drink other IPAs I always mentally compare them to Heady Topper and they alwasy fall short, even if they are very good. For me nothing tops Heady Topper!"
"Heady Topper","I suggest getting multiples to try one from the can, one in glass. Although most of everything you can say about this beer has been said, my take way is hugely balanced beer with great hops to malt balance, up front citrus fades to pine then to a roasty malt."
"Heady Topper","The beer pours a pumpkin hued orange that is very cloudy. Ecru colored head is well maintained with thick gobs of sticky lacing left with each sip. The scent is overwhelmingly hoppy and seems to span the entire hop spectrum without becoming muddled. Notes of pineapple, pine, orange citrus, pear and some background general scent of yeast. Very heady experience. "
"Heady Topper","Heady Topper "
"Heady Topper","A friend gave this to me out of nowhere, he said it was canned within the week. "
"Heady Topper","When a beer reaches the lofty heights of a Heady Topper it feels almost unfair to pen a review. After all, how could I possibly review it based solely on it's merits and deficiencies? Most everyone will either praise it's strengths whilst ignoring the faults or harp on flaws and turn a blind eye toward the many amazing things this drink does so superbly. "
"Heady Topper","Very nice IPA. Fresh nose, with tons of citrus. The mouth feel has kind of a oil texture to it. This really is one of the best out there. I have been told that it is not as good if not fresh. I would actually like to try one a couple months old to taste the difference."
"Heady Topper","A great hop beer with a smooth finish. The best micro brew I have had yet. "
"Heady Topper","I'll start by saying I am first and foremost a Belgian fan but wanted to try heady simply because it was number 1. Definitely one of the best IPAs I have ever had, beating out sculpin and stones enjoy by... The bitterness is non existent and you get swept by the grapefruit and pine flavors immediately. And even after settling a bit, the typical dry ipa bitterness never arrives. A must for every beer fan but with the understanding that there is a hype factor. Once again...I could think of many more Belgians I would prefer."
"Heady Topper","Had side by side with Surly Abrasive and Pliny. By far finished last! Sorry, good for an east coast IPA, but no match for west coast. Pours a cloudy opaque orange color, odd chalky mouthfeel, and a little thick for the style. Prefer a cleaner, crisper, more bitter, hop forward IPA. I see why they want you to drink from the can, not a good looking beer at all! Taste not too far off. Not even in my top ten. Sorry."
"Heady Topper","What can I say? This beer is the reason I joined BA today. Turned on by a friend, i am eager to begin trading for this and other great beers. Heady Topper embodies everything I look for in an IPA. Seriously, this beer has it all. Great aroma, piney, tropical fruit flavored goodness. There is an excellent balance to this machine. Kudos to all at The Alchemist, you have earned my business if you can ever get down to Atlanta!"
"Heady Topper","First time having this beer thanks to a trade. Soon as i took my first sip i got a blast of hops on the tongue. Hints of pine and grapefruit come through. This is simply one of the best if not the best DIPA out there. Zombie dust is a close second for me. cheers!"
"Heady Topper","This beer deserves to be at the top of the charts. An incredible refreshing double IPA. As soon as you crack the can open you are delighted with a burst of great smell, taste and hops. Citrus smell and flavor comes through well. The fact it taste so good out of can gets a big thumbs up."
"Heady Topper","This is a useless review, I'm no critic but I love heady topper. Got a case the last canning day at their current location. No refined palate here, but I appreciate great beer and I consider ht a leader of the pack. I love the can, I prefer drinking out of a can across the board, and I am no stranger to Budweiser or miller lite. To me all these beers have a place, but as far as double IPA's go, this is my favorite so far."
"Heady Topper","Firts time i stop at the alchemist (driving from Ottawa Canada to Cape-Cod) they were out... i was mad. On the way home...they were still out of beer. I was really mad. The free samples were nice...but its more like torture."
"Heady Topper","Stopped by the brewery as part of a tour around New England, having an onsite sample and picking up a case of cans."
"Heady Topper","OK we made the pilgrimage from the Capital District in NY to Vermont. The Alchemist will not be open to the public past 11/15/13 while they look for another place to open up. Yep it was worth the trip."
"Heady Topper","The OG of the DIPA world. Had 1 from the can and 1 from a glass."
"Heady Topper","Poured a hazy bronze hue with a two finger frothy white head. There was excellent retention and excellent lacing. "
"Heady Topper","Heady Topper from The Alchemist is the counter-point to Pliny the Elder. It's brash, fun, and overpowering. This is not a subtle beer. Truth be told, I'm not sure I've had enough of it to rate it."
"Heady Topper","Acquired in a trade from member on HBT Forum."
"Heady Topper","This review is based on a couple Headys I've have over the last week (following a great trip with the girl up to northern Vermont). Drank one from the can, another from a snifter."
"Heady Topper","The legendary Heady Topper! I was able to get my hands on this quite a few times at a local bar that was selling them in NYC. After having Pliny I was most definitely curious to see how heady ranked next to it. So...."
"Heady Topper","Served from the can approximately one week after the canning date. The beer was kept cold from the initial purchase. The smell when you first crack the can is one of the best smells I've experienced while enjoying beers. The perfect balance of hops hits your palate with perfect balance. When poured from the can, the color is slightly hazy and beautiful. Overall one of the best beers I've had the pleasure of having."
"Heady Topper","I retried this beer this past weekend at The Reservoir in Waterbury, VT. Drank straight from the can. I still consider it the king of DIPA's. How this beer is so crushable yet 8% ABV is beyond me. Time always makes me forget. I'll try a Trillium or a Tree House here and there and think, is Heady really still #1? Every time I retry it I re-affirm ""yes. Yes it is."""
"Heady Topper","Christmas Heady muled down from Vermont by my sister in law.  Broke rule number one and poured it into a glass.  Outstanding looking beer, not that clear watery look that many have, looks full and rich, orangish color, impressive head that stuck around and lacing was ideal.  I know I am supposed to drink it from the can but it is a great looking beer.  The smell is unreal, the citrus really jumps out at you.  The flavor follows and is also incredible, the juicy citrus jumps out at you, real smooth except for the bitter.  May be just a bit to much for me (not a hop head).  Plus, the bitterness lingers on the back of the tongue.  Rich, full texture with great carbonation, the perfect amount.  I did not notice any alcohol, it was an extremely easy to drink beer with the exception of the lingering bitterness.  Not the top for me but I completely understand why the hop heads love it."
"Heady Topper","Tasted On: 11-01-2013"
"Heady Topper","Wow. An outstanding beer. This really lived up to the hype (which is really saying something). I felt like I could truly taste the varietals of hops and it was magnificent. I am sold on this beer. One of the best I've had. My favorite part about this is that it says in the can to drink this straight from the can! This place is progressive and has fully embraced the superioriority of the can to the bottle."
"Heady Topper","This is a great beer to pick apart."
"Heady Topper","Appearance - They say to drink it from the can, so that's what I did. Living fairly close by (in NH) I've had more than my fair share of Heady, and a few times I've shared it with friends that have poured it out. I've not seen the extreme cloudiness on these occasions, but you can definitely tell it is unfiltered."
"Heady Topper","Many thanks to shawnp for hooking me up with this one."
"Heady Topper","I FINALLY went to Vermont and I got the Heady Topper! I felt like a little kid once it was in my hands. This beer is the best thing since slice bread.. If you haven't had the Heady Topper find a way to get this beer in your hands...I went on Saturday October 26. They were sold out of the cans.. The lady who was handing out the samples told me on Monday they will have more for sale.. Once I walked in to the brewery on that Monday... Wowww!! You can smell the hops once you walk in.. The machines were cranking! Bottles we're being filled and my smile grew. I bought myself two 4 packs.. I'm happy with what I bought BUT something is telling me I'm going to have to drive from Boston back to VT - this time I'm grabbing a case."
"Heady Topper","Heady Topper is at the top of most DIPA lovers lists or beer aficionados lists and for good reason. "
"Heady Topper","A regular at Max's brought in a can each day of Max's Hopfest (from notes, 8/16-18/13)"
"Heady Topper","Appearance: Mysterious. No, I’m not trying to be cheesy. We drank it straight from the can, as suggested. Could see a little bit of golden liquid on the rim of the can as I drank it."
"Heady Topper","Absolute perfection in a can. Strong grapefruit aroma, and taste does not deviate from the scent. Mouthful loaded with grapefruit and sweet hop goodness, with a smooth finish. Beer actually gets better with each passing sip and is extremely drinkable. Straight from the can is the way to go as instructed ."
"Heady Topper","Trade from A generous trader. Thanks man!!!! Can poured to tulip so I can see it. Some sediment. This isn't super pretty, but the beautiful creaminess of the head brings the appearance up a bit, otherwise not a good look. Will go from can next time. Pours a hazy light golden copper color with just under one finger head. Big floral pineapple and grapefruit aromas, sweetness, mango. Yum. Flavor is heavier on the bitter pine up front, some earthy dirt (in a good way), with some beautiful tropical fruit lingering on the palate, and a pretty dry finish. Almost a creamy feel as I get through this. This highlights the tropical hops for sure. Slick mouthfeel but plenty of carbonation to lighten things up. Is this am excellent DIPA? Yes. Did it live up to the hype for me? Probably not. But very nice in a very different way from some other in the style. Would still likely go for Dreadnaught, Hopslam, Pliny, and Enjoy By before this one. But that's pretty good company. I will revisit tomorrow with a fresh palate to make sure, and try out of a can."
"Heady Topper","Served on tap in a Tulip Glass at the brewery as a sample."
"Heady Topper","Poured into a tulip glass, Taste rated from the can"
"Heady Topper","Canned early october. About 2 weeks old. I have had this numerous times, but thought i'd give it a proper review, fresh, at proper temperature. "
"Heady Topper","One of the most amazing beers I have ever experienced. From the pour it looks great, a carmel brown. The smell is crisp hopps, the taste starts in one place and ends in another ( to me a sharp grapefruity finish), that leaves you ready to open the next one because the first one is gone! One of the best beers I have ever tasted."
"Heady Topper","Thanks to Johnmichaelson and Kurmaraja! 2 cans of Heady in one week! I prefer the glass, and the brewery wants you to drink straight from the can. What do you do? Have them side-by-side! This will be a combined review from a straight pint glass, and the 16oz can, switching between sips as I watched the Talladega NASCAR race."
"Heady Topper","Wow I finally get to try the Topper!"
"Heady Topper","One of the best beers or let alone double ipa i have ever had very resiny sticky mouthfeel, balanced with citrusy piney hop flavors and a nice sweet subtle malt backbone. Very comparable to pliney the elder in taste maybe just a little more heavy and flavorful both really amazing."
"Heady Topper","Theres nothing I can say about this beer that hundreds of people haven't said before. It's that damn good. I've paid $10 a can and I gotta say I'd pay $20. Looking forward to finally making a trip up to Waterbury next year. Pro tip: Makes a great wedding present. Tuck that knowledge away."
"Heady Topper","Here it is folks, the single most overrated beer in drinking history. I've been a beer fanatic for a decade and a half, and the beer drinking world has a lot to answer for on this one. The best beer in the world? What a joke. I wouldn't even put this in the top 10 of IPA's let alone beers of any style. "
"Heady Topper","This beer lives up to the reputation. Had a successful trade that landed me 6 of these beauties and I'm now sans HT. "
"Heady Topper","Can was about 2 months old, thanks brian!"
"Heady Topper","Appearance - Had the luxury of having this on tap while visiting my hometown of Middlebury VT but I will review the can considering everyone is drinking this from a can. Appearance from pouring from a can, you will quickly notice that this brew is unfiltered, sentiment at the bottom, slight bubble carbonation, pours a nice murky orange color with a two finger head that slowly will disappear. The color is enough to tell you this is unfiltered."
"Heady Topper","Thanks to my neighbors Nate and Erika for bringing this back for me. This is a Holy Grail beer that I have wanted to try for a long time now. "
"Heady Topper","This is the nectar of the Gods! Wow!"
"Heady Topper","Look: Hazy opaque pale gold with a thick white head. Moderate activity and subtle lacing. "
"Heady Topper","Fairly fresh, received in a trade. Should be less than 2 weeks old. I poured a little bit into a taster just to see appearance, the rest of the review will be from the can, as the brewer intended. "
"Heady Topper","Drank it from the can as advised (6 days old) and also poured into pint glass. Lived up to the hype. Lugged some back to CA, drank it side-by-side with Pliny. In that pantheon. Loved visiting the brewery in Waterbury -- simply evil that it is essentially next door to Ben and Jerry's. Evil."
"Heady Topper",A:
"Heady Topper","Poured from a pint can to a poco grande style glass; just enough to look at the body, drank the rest straight from the can. Hey it's right on the can to enjoy it that way!"
"Heady Topper","Thanks to jbaker67 for the can! Poured at fridge temp into a Tallgrass Brewing cervoise glass. "
"Heady Topper","Finally got my hands on this guy. A bit poured into a pint glass, rest enjoyed out of the can. "
"Heady Topper","Does HT really need another review saying how equally good and unattainable it is? Well I thought so, so here it is."
"Heady Topper","I can honestly say I bought at least 10 cases of Heady over the past year. Drank more of these than any other beer over the past 12 months. Love driving up from PA to Vermont. And also love sharing this amazing brew with people that never had it. Vermont beercations are amazing!"
"Heady Topper","Drank from the can. Did not pour into a glass, so I can not say what it looks like, but the can is very cool. My dad will love this addition to his beer can collection. Bittersweet grapefruit and dank hop resins dominate, I can already tell this drinks like juice. A bit of pineapple and mango are noticeable on the nose as well. On the first sip, I couldn't believe how complex a one dimensional beer could be. This beer really doesn't need a malt backbone, what a use of hops. Drinks so easy from the can."
"Heady Topper","--Update-- thanks to a second from 'dorsch'...this beer is way better out of the can. the green comes out, the dry-hop is more prominent, and it really is a different beer. both good, but like pbr...better in the can."
"Heady Topper","The Alchemist cannery is only 10 miles from my house and I have a case (or so) of this beer in my fridge at any one time... I am incredibly fortunate that it is my ""regular"". I frequented and severely miss the Alchemist Pub & Brewery that was destroyed by the flooding in downtown Waterbury, VT during Hurricane Irene. Heady Topper is a constant reminder of what a great brewery my good friends John and Jen Kimmich run. I hope that this beer remains BeerAdvocate's #1 beer ""forever""... :)"
"Heady Topper","Consumed October 4th, 2013 from an undated can. Poured into a Samuel Adams ""perfect pint"" glass."
"Heady Topper","First of all, I want to say that I am excited about finally tasting this beer. It has been on my hit-list for a year and, my stars, I was gifted a can this afternoon by a co-worker (danke schön, Mike). The only potential downside is that it was canned in June, it's October, and I have been cautioned by both John Kimmich and devotees to drink it immediately after canning. Any subsequent lapses in enthusiasm are likely owing to this shortcoming. "
"Heady Topper","I just made my monthly trip to The Alchemist and figured it is finally time to write a review."
"Heady Topper","Appearance: golden yellow with small white head (only poured a little bit into a glass)"
"Heady Topper","Canned only 3 days ago (!), this was an incredibly generous trade surprise from mtomlins and a beer I've been hoping to try for ages. It is just plain stunning and actually lives up to my (unduly high) expectations..."
"Heady Topper","Cracking open a fresh Heady..."
"Heady Topper","Received this can from my good friend DWitt. Good looking out, even though u r a g damn Sander. "
"Heady Topper","Picked this baby up from a great friend at the Borefts Bier Fest! It's a little over a week since it was canned so it's super fresh. Cloudy amber-orange pour with a huge 2+ finger fluffy white head with decent retention and lacing. Fresh, dank, resiny hops totally dominate the nose along with some great perfumey, floral and citrus notes. This is one of those really special smelling beers that you'll always remember. The taste is just as big and bold. It starts off like the nose as a total fresh hop monster, full of resiny pine and bitter grapefruit along with some nice tropical notes. About midway through there's a measure of balance as some of the caramel malt sweetness emerges along with some orange peel, tangerine, and a bit of grassiness. The mouthfeel is medium bodied and oddly creamy for an IPA. Surprisingly balanced and incredibly drinkable for such a big, hoppy beer. Overall, not sure it lived up to all the hype, but still one hell of a beer!"
"Heady Topper","What else really needs to be said? Had a taste from the tap but reviewing based on 1 pint cans.Both are my first experiences with Heady. It's perfect. Beautiful pale hazy yellow when poured, which I did with 1 of 4 cans I've had so far. Delicious, smooth and flavor-filled. Hits all the right notes. Little floral, little citrus and a little pine lumped together into a spectacular punch of flavor. Spent 10 hrs in a car to bring this home and it was worth every second."
"Heady Topper","Murky golden orange color with a fat layer of off-white foam on the surface. Deep, dank, fresh bag-o-hops smell...spicy, resinous pine, pungent, juicy citrus, and peaches. An almost toffee-ish malt profile lurks underneath. Huge hoppy flavor (obviously): fresh floral hop cones, grapefruit, pine needles, stone fruit, maybe some tropical fruit. Seems kind of like a lot of Simcoe to me. Dry, smooth,and textured. Bitter, but nothing crazy. This is a great, supremely hopped-up DIPA that manages to stay really drinkable. A bit too hyped up, but undeniably impressive."
"Heady Topper","Religious experience. I went to the brewery on a Saturday, opens at 11am, and by that time there were, 40 people behind me, from all over the continent!"
"Heady Topper","Absolutely love this beer. Just had it for the first time in Vermont. I'm used to Belgians for this high of alcohol contents. Absolutely love the flowery smell."
"Heady Topper","Poured from a 16oz can into a tulip glass. "
"Heady Topper","To date, one of the most enjoyable beers that I've ever drank."
"Heady Topper","This is everything a beer should be amazing drinkability great odor and taste this is just everything that I could possibly want in a beer experience. The presentation of the can is perfect and well worth the journey into the middle of no where Vermont. While 72 for a case may seem high I would be willing to spend over and over again."
"Heady Topper","Appearance: Nice hazy orange color. Very nice off-white head."
"Heady Topper","Appearance: It has a nice hazy golden/orange color to it. It has a nice off-white head that dies down moderately and leaves lovely lacing."
"Heady Topper","First time having this brew. I must say it lived up to the hype for sure. great hoppy taste and not too bitter. very easily drinkable. I would choose this over any other ipa/dipa available. the only negative thing I can say about it is it's availability. I wish I didn't have to have it shipped out to Las Vegas! Cheers!"
"Heady Topper","Was everything I hoped it to be. Thank you Danny Mac for sharing! I wish I had just one more sip, then one more can. Everyone can write more descriptive reviews, I just wanted to tell about the experience. Read a ton of opinions and this was one of the few that I whole heartedly agree with. If you have it, I am jealous, if you can find it, count yer blessings! If you have an extra share it with a friend. Drink, be fat and happy all!"
"Heady Topper","It's heady topper... everyone wants a piece of it. Here in burlington, people still stand in line for it and it sells out quite quickly when it hits the shelf. "
"Heady Topper","A- Pours a medium bright orange golden color. Not quite brilliant, but far from dull in color. Big, frothy head that retains and laces tremendously. Hazy and beautiful in the glass."
"Heady Topper","Poured from the can. Aroma is very strong, lots of floral hops. Pours a nice golden color and white head. Taste is very strong hops that take over the more you sip it. It is one of the cloudiest beers I have ever seen. You can taste the resin right away and it is not a bad thing! This is my favorite DIPA to date."
"Heady Topper","A can traded to me by a fellow BA. What a nice gesture! A 16 oz can of the top rated beer and they tell you to drink it from the can."
"Heady Topper","Special thanks to Jake Holland for providing this delicious beverage..."
"Heady Topper","I really don't feel the is anything I ""can"" add to this wonderful beer the only reason it feel short of perfect is because I can't drink any other beer with it, nothing before and nothing after. If I drink something before I simply don't enjoy heady as much and if I drink something after I lose the desire for beer. Other then that it is wonderful, But I have to session it by itself have 2 or 3 and call it a night."
"Heady Topper","Appearance- Pours up a more than a fair amount of head and seems to have pretty good retention. The head is a pure cotton white while the body is a hazy, pale to medium amber with weak grapefruit notes which glows a pale amber with hints of orange when held up to the light. Hazy but I haven't detected any of the infamous floaters. Some lacing is left behind. "
"Heady Topper","Cracked a can which was about 2 months old. Poured into a tulip glass."
"Heady Topper","16oz can, thanks to Phyl21ca for getting this across the continent to me. If we are entreated to ""Drink from the Can!"", then why does the label illustration show the dude getting his mind literally blown ('heady topped?'), using a GLASS?"
"Heady Topper","This was one of the great Craft Beer experiences that I've tasted. And after what my Mother-In-law went through to get it for me I had great expectations. And I wasn't disappointed. Great taste and finish. A beer that I could drink every day, if I could get enough."
"Heady Topper","Lightly chilled 16 oz. can. Picked up last Wendesday outside Burlington, VT. Poured a couple oz. into a shaker to get a look at it, the rest stayed in the can as per the brewer's printed plea."
"Heady Topper","Appearance: golden yellow with orange hues, white fizzy head, very hazy"
"Heady Topper","I love this beer a lot and appreciate the fact that such a good beer is made in my home state, It will get you twisted pretty quick because to me I couldn't really taste the alcohol but instead the delicious floral hops. When I was at Nectar's bar, everyone had a Heady Topper!"
"Heady Topper","Appearance was cloudy and golden with a coppery-orange hue; moderate, bone-colored, head retention."
"Heady Topper","Original review 9/8/13:"
"Heady Topper","Had this beer many times, but I still pour into a glass even though Alchemist says not too."
"Heady Topper","General - I was in Albany, NY for the holiday weekend and made my friend drive 4 hours north to VT to get me a case of this before I even arrived. I've had extremely high expectations for this beer since reading all the reviews and never getting to try it. I drank it out of the can, just like the can says to do!"
"Heady Topper","A: Hazy, orange body. Small fizzy bubbles. Moderate retention."
"Heady Topper","I poured just a little bit into a glass, to see the color. It says to drink it from the can. It has a light burnt orange color it. The aroma is strong piney hops. The taste is a little bitter than the citrus comes in. At the end the hops bite your tongue like a rattlesnake. It leaves a bitter after taste and overall one hell of a beer."
"Heady Topper","I have this beer a lot as well as other IPAs out there and it still holds its rank as #1 in my book."
"Heady Topper","A - Yellow-orange and hazy. I could care less about appearance, so unless it's really beautiful or really ugly, it will get the average of the other ratings. Who drinks a beer for appearance anyway?"
"Heady Topper","Thanks, Kristen."
"Heady Topper","From the can distributed during the week of August 26, 2013. Sampled on September 1, 2013."
"Heady Topper","16oz tallboy, purchased cans from the brewery."
"Heady Topper","Huge thanks to Phyl21ca for sending a 4 pack of these out together with some other awesome beers in a great trade. Review #200 - and some amazing beers left to try!"
"Heady Topper","Big shout out to my fellow Beer Advocate Mikeypnh for the hookup on this one"
"Heady Topper","In short, lives up to the hype for sure. "
"Heady Topper","Tasted it for the first time yesterday in the studios of VPT in Colchester, VT: MAMMAMIA! That thing knocked me off my socks! "
"Heady Topper","Tasted on 11/11/11 from a can shared by ryan585, thanks Ryan. Pours murky orange with a very thin white head that leaves a thin collar of lace, with some chunky sediment. The nose is intense orange peel citrus, resin bitterness, chewable kids vitamins, caramel malt, and a touch of earthy yeast. The flavor is orange and grapefruit peel, bitter resin, chewable kids vitamins, the same earthy yeast, and just enough caramel malt to keep everything in balance. The body is medium with an oily texture, lighter than average carbonation, and a very long resin and citrus peel bitter finish."
"Heady Topper","Can @ Dan’s house, courtesy of doodler. Huge thanks! Cloudy, yellow orange appearance with an orange tinged off white head. Slightly resiny, piney, organic hoppy, citrusy aroma. Very nice, piney, somewhat resiny, hoppy, tasty citrusy flavor. Awesome! "
"Heady Topper","Had this (along with other dipa's) at a East VS. West Dipa Head to Head Showdown I hosted on 8/27/13"
